time,pid_tb.proportional[31:0]
1433100000,25390
1433100000,25350
1440300000,25350
1440300000,25310
1447500000,25310
1447500000,25270
1454700000,25270
1454700000,25230
1461900000,25230
1461900000,25190
1469100000,25190
1469100000,25150
1476300000,25150
1476300000,25110
1483500000,25110
1483500000,25070
1490700000,25070
1490700000,25020
1497900000,25020
1497900000,24980
1505100000,24980
1505100000,24940
1512300000,24940
1512300000,24900
1519500000,24900
1519500000,24860
1526700000,24860
1526700000,24820
1533900000,24820
1533900000,24780
1541100000,24780
1541100000,24740
1548300000,24740
1548300000,24700
1555500000,24700
1555500000,24660
1562700000,24660
1562700000,24620
1569900000,24620
1569900000,24580
1577100000,24580
1577100000,24550
1584300000,24550
1584300000,24510
1591500000,24510
1591500000,24470
1598700000,24470
1598700000,24430
1605900000,24430
1605900000,24390
1613100000,24390
1613100000,24350
1620300000,24350
1620300000,24310
1627500000,24310
1627500000,24270
1634700000,24270
1634700000,24230
1641900000,24230
1641900000,24190
1649100000,24190
1649100000,24150
1656300000,24150
1656300000,24110
1663500000,24110
1663500000,24070
1670700000,24070
1670700000,24030
1677900000,24030
1677900000,23990
1685100000,23990
1685100000,23960
1692300000,23960
1692300000,23920
1699500000,23920
1699500000,23880
1706700000,23880
1706700000,23840
1713900000,23840
1713900000,23800
1721100000,23800
1721100000,23760
1728300000,23760
1728300000,23720
1735500000,23720
1735500000,23680
1742700000,23680
1742700000,23650
1749900000,23650
1749900000,23610
1757100000,23610
1757100000,23570
1764300000,23570
1764300000,23530
1771500000,23530
1771500000,23490
1778700000,23490
1778700000,23450
1785900000,23450
1785900000,23420
1793100000,23420
1793100000,23380
1800300000,23380
1800300000,23340
1807500000,23340
1807500000,23300
1814700000,23300
1814700000,23260
1821900000,23260
1821900000,23230
1829100000,23230
1829100000,23190
1836300000,23190
1836300000,23150
1843500000,23150
1843500000,23110
1850700000,23110
1850700000,23080
1857900000,23080
1857900000,23040
1865100000,23040
1865100000,23000
1872300000,23000
1872300000,22960
1879500000,22960
1879500000,22930
1886700000,22930
1886700000,22890
1893900000,22890
1893900000,22850
1901100000,22850
1901100000,22810
1908300000,22810
1908300000,22780
1915500000,22780
1915500000,22740
1922700000,22740
1922700000,22700
1929900000,22700
1929900000,22670
1937100000,22670
1937100000,22630
1944300000,22630
1944300000,22590
1951500000,22590
1951500000,22560
1958700000,22560
1958700000,22520
1965900000,22520
1965900000,22480
1973100000,22480
1973100000,22440
1980300000,22440
1980300000,22410
1987500000,22410
1987500000,22370
1994700000,22370
1994700000,22340
2001900000,22340
2001900000,22300
2009100000,22300
2009100000,22260
2016300000,22260
2016300000,22230
2023500000,22230
2023500000,22190
2030700000,22190
2030700000,22150
2037900000,22150
2037900000,22120
2045100000,22120
2045100000,22080
2052300000,22080
2052300000,22050
2059500000,22050
2059500000,22010
2066700000,22010
2066700000,21970
2073900000,21970
2073900000,21940
2081100000,21940
2081100000,21900
2088300000,21900
2088300000,21870
2095500000,21870
2095500000,21830
2102700000,21830
2102700000,21800
2109900000,21800
2109900000,21760
2117100000,21760
2117100000,21720
2124300000,21720
2124300000,21690
2131500000,21690
2131500000,21650
2138700000,21650
2138700000,21620
2145900000,21620
2145900000,21580
2153100000,21580
2153100000,21550
2160300000,21550
2160300000,21510
2167500000,21510
2167500000,21480
2174700000,21480
2174700000,21440
2181900000,21440
2181900000,21410
2189100000,21410
2189100000,21370
2196300000,21370
2196300000,21340
2203500000,21340
2203500000,21300
2210700000,21300
2210700000,21270
2217900000,21270
2217900000,21230
2225100000,21230
2225100000,21200
2232300000,21200
2232300000,21160
2239500000,21160
2239500000,21130
2246700000,21130
2246700000,21100
2253900000,21100
2253900000,21060
2261100000,21060
2261100000,21030
2268300000,21030
2268300000,20990
2275500000,20990
2275500000,20960
2282700000,20960
2282700000,20920
2289900000,20920
2289900000,20890
2297100000,20890
2297100000,20860
2304300000,20860
2304300000,20820
2311500000,20820
2311500000,20790
2318700000,20790
2318700000,20750
2325900000,20750
2325900000,20720
2333100000,20720
2333100000,20690
2340300000,20690
2340300000,20650
2347500000,20650
2347500000,20620
2354700000,20620
2354700000,20590
2361900000,20590
2361900000,20550
2369100000,20550
2369100000,20520
2376300000,20520
2376300000,20480
2383500000,20480
2383500000,20450
2390700000,20450
2390700000,20420
2397900000,20420
2397900000,20390
2405100000,20390
2405100000,20350
2412300000,20350
2412300000,20320
2419500000,20320
2419500000,20290
2426700000,20290
2426700000,20250
2433900000,20250
2433900000,20220
2441100000,20220
2441100000,20190
2448300000,20190
2448300000,20150
2455500000,20150
2455500000,20120
2462700000,20120
2462700000,20090
2469900000,20090
2469900000,20050
2477100000,20050
2477100000,20020
2484300000,20020
2484300000,19990
2491500000,19990
2491500000,19960
2498700000,19960
2498700000,19920
2505900000,19920
2505900000,19890
2513100000,19890
2513100000,19860
2520300000,19860
2520300000,19830
2527500000,19830
2527500000,19790
2534700000,19790
2534700000,19760
2541900000,19760
2541900000,19730
2549100000,19730
2549100000,19700
2556300000,19700
2556300000,19670
2563500000,19670
2563500000,19630
2570700000,19630
2570700000,19600
2577900000,19600
2577900000,19570
2585100000,19570
2585100000,19540
2592300000,19540
2592300000,19510
2599500000,19510
2599500000,19470
2606700000,19470
2606700000,19440
2613900000,19440
2613900000,19410
2621100000,19410
2621100000,19380
2628300000,19380
2628300000,19350
2635500000,19350
2635500000,19320
2642700000,19320
2642700000,19290
2649900000,19290
2649900000,19250
2657100000,19250
2657100000,19220
2664300000,19220
2664300000,19190
2671500000,19190
2671500000,19160
2678700000,19160
2678700000,19130
2685900000,19130
2685900000,19100
2693100000,19100
2693100000,19070
2700300000,19070
2700300000,19030
2707500000,19030
2707500000,19000
2714700000,19000
2714700000,18970
2721900000,18970
2721900000,18940
2729100000,18940
2729100000,18910
2736300000,18910
2736300000,18880
2743500000,18880
2743500000,18850
2750700000,18850
2750700000,18820
2757900000,18820
2757900000,18790
2765100000,18790
2765100000,18760
2772300000,18760
2772300000,18730
2779500000,18730
2779500000,18700
2786700000,18700
2786700000,18670
2793900000,18670
2793900000,18630
2801100000,18630
2801100000,18600
2808300000,18600
2808300000,18570
2815500000,18570
2815500000,18540
2822700000,18540
2822700000,18510
2829900000,18510
2829900000,18480
2837100000,18480
2837100000,18450
2844300000,18450
2844300000,18420
2851500000,18420
2851500000,18390
2858700000,18390
2858700000,18360
2865900000,18360
2865900000,18330
2873100000,18330
2873100000,18300
2880300000,18300
2880300000,18270
2887500000,18270
2887500000,18240
2894700000,18240
2894700000,18210
2901900000,18210
2901900000,18190
2909100000,18190
2909100000,18160
2916300000,18160
2916300000,18130
2923500000,18130
2923500000,18100
2930700000,18100
2930700000,18070
2937900000,18070
2937900000,18040
2945100000,18040
2945100000,18010
2952300000,18010
2952300000,17980
2959500000,17980
2959500000,17950
2966700000,17950
2966700000,17920
2973900000,17920
2973900000,17890
2981100000,17890
2981100000,17860
2988300000,17860
2988300000,17830
2995500000,17830
2995500000,17800
3002700000,17800
3002700000,17770
3009900000,17770
3009900000,17740
3017100000,17740
3017100000,17720
3024300000,17720
3024300000,17690
3031500000,17690
3031500000,17660
3038700000,17660
3038700000,17630
3045900000,17630
3045900000,17600
3053100000,17600
3053100000,17570
3060300000,17570
3060300000,17540
3067500000,17540
3067500000,17510
3074700000,17510
3074700000,17490
3081900000,17490
3081900000,17460
3089100000,17460
3089100000,17430
3096300000,17430
3096300000,17400
3103500000,17400
3103500000,17370
3110700000,17370
3110700000,17340
3117900000,17340
3117900000,17320
3125100000,17320
3125100000,17290
3132300000,17290
3132300000,17260
3139500000,17260
3139500000,17230
3146700000,17230
3146700000,17200
3153900000,17200
3153900000,17180
3161100000,17180
3161100000,17150
3168300000,17150
3168300000,17120
3175500000,17120
3175500000,17090
3182700000,17090
3182700000,17060
3189900000,17060
3189900000,17030
3197100000,17030
3197100000,17010
3204300000,17010
3204300000,16980
3211500000,16980
3211500000,16950
3218700000,16950
3218700000,16920
3225900000,16920
3225900000,16900
3233100000,16900
3233100000,16870
3240300000,16870
3240300000,16840
3247500000,16840
3247500000,16810
3254700000,16810
3254700000,16790
3261900000,16790
3261900000,16760
3269100000,16760
3269100000,16730
3276300000,16730
3276300000,16710
3283500000,16710
3283500000,16680
3290700000,16680
3290700000,16650
3297900000,16650
3297900000,16620
3305100000,16620
3305100000,16600
3312300000,16600
3312300000,16570
3319500000,16570
3319500000,16540
3326700000,16540
3326700000,16520
3333900000,16520
3333900000,16490
3341100000,16490
3341100000,16460
3348300000,16460
3348300000,16430
3355500000,16430
3355500000,16410
3362700000,16410
3362700000,16380
3369900000,16380
3369900000,16350
3377100000,16350
3377100000,16330
3384300000,16330
3384300000,16300
3391500000,16300
3391500000,16270
3398700000,16270
3398700000,16250
3405900000,16250
3405900000,16220
3413100000,16220
3413100000,16200
3420300000,16200
3420300000,16170
3427500000,16170
3427500000,16140
3434700000,16140
3434700000,16120
3441900000,16120
3441900000,16090
3449100000,16090
3449100000,16060
3456300000,16060
3456300000,16040
3463500000,16040
3463500000,16010
3470700000,16010
3470700000,15990
3477900000,15990
3477900000,15960
3485100000,15960
3485100000,15930
3492300000,15930
3492300000,15910
3499500000,15910
3499500000,15880
3506700000,15880
3506700000,15850
3513900000,15850
3513900000,15830
3521100000,15830
3521100000,15800
3528300000,15800
3528300000,15780
3535500000,15780
3535500000,15750
3542700000,15750
3542700000,15730
3549900000,15730
3549900000,15700
3557100000,15700
3557100000,15670
3564300000,15670
3564300000,15650
3571500000,15650
3571500000,15620
3578700000,15620
3578700000,15600
3585900000,15600
3585900000,15570
3593100000,15570
3593100000,15550
3600300000,15550
3600300000,15520
3607500000,15520
3607500000,15500
3614700000,15500
3614700000,15470
3621900000,15470
3621900000,15450
3629100000,15450
3629100000,15420
3636300000,15420
