time,pid_tb.setpoint[31:0]
0,5000
15500000,5000
15500000,7000
22700000,7000
22700000,9000
29900000,9000
29900000,11000
37100000,11000
37100000,13000
44300000,13000
44300000,15000
51500000,15000
51500000,17000
58700000,17000
58700000,19000
65900000,19000
65900000,21000
73100000,21000
73100000,23000
80300000,23000
80300000,25000
87500000,25000
87500000,27000
94700000,27000
94700000,29000
101900000,29000
101900000,31000
109100000,31000
109100000,33000
116300000,33000
116300000,35000
123500000,35000
123500000,37000
130700000,37000
130700000,39000
137900000,39000
137900000,41000
145100000,41000
145100000,43000
152300000,43000
152300000,45000
159500000,45000
159500000,47000
166700000,47000
166700000,49000
173900000,49000
173900000,51000
181100000,51000
181100000,53000
188300000,53000
188300000,55000
195500000,55000
195500000,57000
202700000,57000
202700000,59000
209900000,59000
209900000,61000
217100000,61000
217100000,63000
224300000,63000
224300000,65000
231500000,65000
231500000,67000
238700000,67000
238700000,69000
245900000,69000
245900000,71000
253100000,71000
253100000,73000
260300000,73000
260300000,75000
267500000,75000
267500000,77000
274700000,77000
274700000,79000
281900000,79000
281900000,81000
289100000,81000
289100000,83000
296300000,83000
296300000,85000
303500000,85000
303500000,87000
310700000,87000
310700000,89000
317900000,89000
317900000,91000
325100000,91000
325100000,93000
332300000,93000
332300000,95000
339500000,95000
339500000,97000
346700000,97000
346700000,99000
353900000,99000
353900000,101000
361100000,101000
361100000,103000
368300000,103000
368300000,105000
375500000,105000
375500000,107000
382700000,107000
382700000,109000
389900000,109000
389900000,111000
397100000,111000
397100000,113000
404300000,113000
404300000,115000
411500000,115000
411500000,117000
418700000,117000
418700000,119000
425900000,119000
425900000,121000
433100000,121000
433100000,123000
440300000,123000
440300000,125000
447500000,125000
447500000,127000
454700000,127000
454700000,129000
461900000,129000
461900000,131000
469100000,131000
469100000,133000
476300000,133000
476300000,135000
483500000,135000
483500000,137000
490700000,137000
490700000,139000
497900000,139000
497900000,141000
505100000,141000
505100000,143000
512300000,143000
512300000,145000
519500000,145000
519500000,147000
526700000,147000
526700000,149000
533900000,149000
533900000,151000
541100000,151000
541100000,153000
548300000,153000
548300000,155000
555500000,155000
555500000,157000
562700000,157000
562700000,159000
569900000,159000
569900000,161000
577100000,161000
577100000,163000
584300000,163000
584300000,165000
591500000,165000
591500000,167000
598700000,167000
598700000,169000
605900000,169000
605900000,171000
613100000,171000
613100000,173000
620300000,173000
620300000,175000
627500000,175000
627500000,177000
634700000,177000
634700000,179000
641900000,179000
641900000,181000
649100000,181000
649100000,183000
656300000,183000
656300000,185000
663500000,185000
663500000,187000
670700000,187000
670700000,189000
677900000,189000
677900000,191000
685100000,191000
685100000,193000
692300000,193000
692300000,195000
699500000,195000
699500000,197000
706700000,197000
706700000,199000
713900000,199000
713900000,201000
721100000,201000
721100000,203000
728300000,203000
728300000,205000
735500000,205000
735500000,207000
742700000,207000
742700000,209000
749900000,209000
749900000,211000
757100000,211000
757100000,213000
764300000,213000
764300000,215000
771500000,215000
771500000,217000
778700000,217000
778700000,219000
785900000,219000
785900000,221000
793100000,221000
793100000,223000
800300000,223000
800300000,225000
807500000,225000
807500000,227000
814700000,227000
814700000,229000
821900000,229000
821900000,231000
829100000,231000
829100000,233000
836300000,233000
836300000,235000
843500000,235000
843500000,237000
850700000,237000
850700000,239000
857900000,239000
857900000,241000
865100000,241000
865100000,243000
872300000,243000
872300000,245000
879500000,245000
879500000,247000
886700000,247000
886700000,249000
893900000,249000
893900000,251000
901100000,251000
901100000,253000
908300000,253000
908300000,255000
915500000,255000
915500000,257000
922700000,257000
922700000,259000
929900000,259000
929900000,261000
937100000,261000
937100000,263000
944300000,263000
944300000,265000
951500000,265000
951500000,267000
958700000,267000
958700000,269000
965900000,269000
965900000,271000
973100000,271000
973100000,273000
980300000,273000
980300000,275000
987500000,275000
987500000,277000
994700000,277000
994700000,279000
1001900000,279000
1001900000,281000
1009100000,281000
1009100000,283000
1016300000,283000
1016300000,285000
1023500000,285000
1023500000,287000
1030700000,287000
1030700000,289000
1037900000,289000
1037900000,291000
1045100000,291000
1045100000,293000
1052300000,293000
1052300000,295000
1059500000,295000
1059500000,297000
1066700000,297000
1066700000,299000
1073900000,299000
1073900000,301000
1081100000,301000
1081100000,303000
1088300000,303000
1088300000,305000
1095500000,305000
1095500000,307000
1102700000,307000
1102700000,309000
1109900000,309000
1109900000,311000
